bat,date,trial,condition,catchTrial,temperature_C,humidity_pct,call_number,timestamp_s,timestamp_left_s,timestamp_right_s,duration_ms,ipi_ms,peakFreq_kHz,startFreq_kHz,startFreq_low_kHz,startFreq_high_kHz,endFreq_kHz,bandwidth_kHz,slope_kHz_per_ms,peakAmp_rear,peakAmp_left,peakAmp_right
mybat,1999-09-09,66,asfdgdsafg,1,99,0,31,6.95812,6.959376,6.959232,2.108,108.38,34.66796875,51.26953125,40.0390625,51.26953125,31.25,8.7890625,-9.49693133301708,1.59102301878185e-07,1.6213611630279e-09,1.1604266451141e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,32,7.0665,7.06812,7.067776,2.32,105.612,35.64453125,49.8046875,41.50390625,49.8046875,29.78515625,11.71875,-8.62910829741379,1.0511345541695e-07,3.3750181219233e-09,1.12758583825341e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,33,7.172112,7.173292,7.1732,2.016,35.168,36.1328125,51.26953125,39.55078125,51.26953125,32.71484375,6.8359375,-9.20371403769841,4.4660528557292e-08,5.40137282438687e-10,5.53448358751155e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,34,7.20728,7.2084,7.208268,2.052,107.804,37.109375,48.828125,39.0625,48.828125,26.85546875,12.20703125,-10.7079221491228,6.51012977506237e-08,1.87908469552713e-10,6.57376703820227e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,35,7.315084,7.316412,7.316108,2.116,125.088,36.1328125,50.78125,40.0390625,50.78125,31.73828125,8.30078125,-8.99951264177694,4.20216976182881e-08,5.59479140397241e-10,9.7037337747685e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,36,7.440172,7.441732,7.441288,2.172,90.112,37.59765625,52.734375,41.9921875,52.734375,31.73828125,10.25390625,-9.66670982965009,9.61689361420442e-08,3.92303899940462e-09,1.16745474302983e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,37,7.530284,7.531524,7.531188,2.108,104.24,37.59765625,51.7578125,40.52734375,51.7578125,30.76171875,9.765625,-9.96019627609108,7.07719414329258e-08,8.29772869491119e-10,7.56023127082217e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,38,7.634524,7.635736,7.635484,2.248,81.768,38.57421875,51.7578125,41.50390625,51.7578125,30.76171875,10.7421875,-9.33989935498221,8.20112607048843e-08,1.16367122738059e-09,8.83483272532095e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,39,7.716292,7.718076,7.71722,2.4,79.68,34.1796875,50.78125,40.0390625,50.78125,25.87890625,14.16015625,-10.3759765625,1.11515131282307e-07,5.33533046190471e-09,1.75334691278046e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,40,7.795972,7.797424,7.796788,2.148,182.832,33.69140625,48.828125,41.015625,48.828125,29.296875,11.71875,-9.09276070763501,3.59339074368526e-08,1.3558277298495e-09,3.59370153006131e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,41,7.978804,7.980796,7.979712,2.48,103.232,38.57421875,49.8046875,41.9921875,49.8046875,29.78515625,12.20703125,-8.07239163306452,1.1769404085518e-07,2.40763622955417e-09,2.63695317451888e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,42,8.082036,8.0833,8.083224,2.196,36.428,37.59765625,51.7578125,41.015625,51.7578125,31.73828125,9.27734375,-9.11636213570127,7.81351408702732e-08,3.03810989158985e-09,1.44165822119958e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,43,8.118464,8.119588,8.119168,1.972,76.92,37.109375,69.82421875,40.0390625,69.82421875,30.76171875,9.27734375,-19.808569979716,3.65267753570194e-08,6.51753334813302e-10,8.43868583627253e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,44,8.195384,8.196716,8.196116,1.904,50.392,33.203125,69.82421875,39.55078125,69.82421875,30.76171875,8.7890625,-20.516018907563,2.66322725971761e-08,5.99062972416863e-10,3.35881268078346e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,45,8.245776,8.246756,8.24682,1.788,118.256,34.1796875,69.82421875,38.0859375,69.82421875,34.1796875,3.90625,-19.9354201621924,2.11617919909315e-08,2.4986665446426e-10,5.00142187984323e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,46,8.364032,8.365612,8.365048,2.364,53.232,38.0859375,53.22265625,43.9453125,53.22265625,27.83203125,16.11328125,-10.7405351099831,4.82000775345424e-08,3.36830911737879e-09,1.43102910676642e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,47,8.417264,8.418868,8.418176,2.14,77.36,32.71484375,51.7578125,40.0390625,51.7578125,29.296875,10.7421875,-10.4957651869159,4.95472906346472e-08,4.13417811328813e-10,6.62286088431982e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,48,8.494624,8.496644,8.495608,2.036,138.016,35.15625,69.82421875,39.0625,69.82421875,31.73828125,7.32421875,-18.7062561394892,2.74416770031355e-08,6.76539874338183e-10,9.10604742240891e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,49,8.63264,8.634624,8.633452,2.028,107.916,36.1328125,51.7578125,39.0625,51.7578125,32.2265625,6.8359375,-9.63079388560158,2.6047766496549e-08,1.85017658693255e-10,9.45278795759748e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,50,8.740556,8.742672,8.741308,2.232,33.468,35.15625,51.26953125,39.55078125,51.26953125,28.80859375,10.7421875,-10.0631440412186,4.2399614976641e-08,7.39670260601625e-10,1.38649138186671e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,51,8.774024,8.774892,8.775272,1.912,191.976,31.25,66.89453125,35.64453125,66.89453125,28.80859375,6.8359375,-19.9194233786611,1.99960652623606e-08,2.41164879746289e-09,4.54478461219739e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,52,8.966,8.967608,8.967012,2.028,45.804,35.15625,48.33984375,40.52734375,48.33984375,32.71484375,7.8125,-7.70463510848126,3.66941000981571e-08,2.11835604978103e-09,2.45888319958787e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,53,9.011804,9.01314,9.012676,1.968,72.148,35.15625,69.82421875,41.015625,69.82421875,31.73828125,9.27734375,-19.3526105182927,2.92840010850187e-08,1.4441122064544e-09,1.59350209538378e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,54,9.083952,9.085132,9.084744,1.944,42.572,33.203125,50.29296875,39.55078125,50.29296875,31.73828125,7.8125,-9.54459233539095,2.59807998527264e-08,1.69269434053312e-09,1.09789736750739e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,55,9.126524,9.128188,9.127292,1.98,3925.54,33.203125,54.19921875,40.0390625,54.19921875,32.71484375,7.32421875,-10.8506944444444,2.2949959683435e-08,1.51809038518918e-09,1.76830474774031e-08
mybat,1999-09-09,66,asfdgdsafg,1,99,0,56,13.052064,13.05434,13.053332,3.536,NaN,30.76171875,45.8984375,39.0625,45.8984375,27.34375,11.71875,-5.24736637443439,3.59654181118547e-08,2.26564420872198e-08,4.12572372703722e-07
